year,month,ba,solar_gen_mwh,solar_capacity,hours_in_month,solar_cf,solar_num_sites,wind_gen_mwh,wind_capacity,wind_cf,wind_num_sites
1980,1,AECI,221064.62987886948,2500,744,0.1188519515477793,1,203783816.6794078,919400,0.2979149221316143,8
1980,2,AECI,287457.5000000001,2500,696,0.165205459770115,1,226170371.29999998,919400,0.35344510553484404,8
1980,3,AECI,310574.99999999994,2500,744,0.16697580645161286,1,286222339.1,919400,0.4184331575232562,8
1980,4,AECI,399385,2500,720,0.22188055555555555,1,242051970.9,919400,0.36565509344862596,8
1980,5,AECI,371042.49999999994,2500,744,0.1994852150537634,1,155014188.7,919400,0.22661779874555868,8
1980,6,AECI,412345,2500,720,0.22908055555555554,1,179998497.20000002,919400,0.27191419706088515,8
1980,7,AECI,443527.49999999994,2500,744,0.23845564516129028,1,178003561.4,919400,0.2602263418054318,8
1980,8,AECI,374684.9999999999,2500,744,0.20144354838709672,1,205411700.1,919400,0.30029475174903686,8
1980,9,AECI,339177.5,2500,720,0.18843194444444444,1,190063701.7,919400,0.2871191684492302,8
1980,10,AECI,365107.5000000001,2500,744,0.19629435483870972,1,235212870.1,919400,0.3438615736127582,8
1980,11,AECI,290430.00000000006,2500,720,0.16135000000000005,1,226886231,919400,0.34274501335411983,8
1980,12,AECI,226587.5000000001,2500,744,0.12182123655913983,1,222857581,919400,0.32579917273069625,8
1981,1,AECI,315604.19919246295,5000,744,0.08483983849259757,1,563301679.7135935,1838800,0.4117500073926146,8
1981,2,AECI,307880,2500,672,0.18326190476190476,1,278962857.8,919400,0.45151544517905057,8
1981,3,AECI,395227.50000000006,2500,744,0.2124879032258065,1,226920068.10000002,919400,0.33173818961524704,8
1981,4,AECI,383837.49999999994,2500,720,0.2132430555555555,1,284238421.1999999,919400,0.42938392973678474,8
1981,5,AECI,338012.5000000001,2500,744,0.18172715053763447,1,224235713.5,919400,0.3278138873587496,8
1981,6,AECI,353360,2500,720,0.1963111111111111,1,180643445.6,919400,0.27288848645251734,8
1981,7,AECI,392667.5,2500,744,0.21111155913978497,1,148936494.8,919400,0.21773271780801412,8
1981,8,AECI,400000.0000000002,2500,744,0.2150537634408603,1,148127622,919400,0.21655021332285432,8
1981,9,AECI,377897.49999999994,2500,720,0.2099430555555555,1,194665456,919400,0.2940707949628985,8
1981,10,AECI,295010.00000000006,2500,744,0.15860752688172045,1,242812747.5,919400,0.354971959710751,8
1981,11,AECI,236232.5,2500,720,0.13124027777777778,1,212267937.2,919400,0.3206619310903246,8
1981,12,AECI,224070.0000000001,2500,744,0.12046774193548392,1,221372659.6,919400,0.32362834164871435,8
1982,1,AECI,271222.04576043074,5000,744,0.0729091520861373,1,701855810.9846568,1838800,0.5130272920691739,8
1982,2,AECI,302694.99999999994,2500,672,0.1801755952380952,1,186212034,919400,0.30139356218341157,8
1982,3,AECI,396497.5,2500,744,0.21317069892473117,1,239561361.2,919400,0.3502187044613013,8
1982,4,AECI,376707.5,2500,720,0.20928194444444442,1,244600709.9,919400,0.3695053384755759,8
1982,5,AECI,374367.5,2500,744,0.20127284946236562,1,195894162.5,919400,0.2863809065811972,8
1982,6,AECI,350519.9999999999,2500,720,0.19473333333333326,1,117966212,919400,0.17820530901795856,8
1982,7,AECI,415452.5,2500,744,0.22336155913978495,1,142380952.3,919400,0.20814906212209464,8
1982,8,AECI,378987.50000000006,2500,744,0.20375672043010756,1,160016267.5,919400,0.23393042023081909,8
1982,9,AECI,386660.00000000006,2500,720,0.21481111111111112,1,204805815,919400,0.30938929827423683,8
1982,10,AECI,362214.99999999994,2500,744,0.1947392473118279,1,246767226.10000002,919400,0.36075307718802124,8
1982,11,AECI,219417.50000000003,2500,720,0.12189861111111112,1,232397448.89999998,919400,0.3510705183634254,8
1982,12,AECI,213890.00000000015,2500,744,0.11499462365591405,1,222154468.1,919400,0.32477128038739617,8
1983,1,AECI,255095.37012113043,5000,744,0.06857402422611034,1,431531387.40565276,1838800,0.31543142574111327,8
1983,2,AECI,262877.49999999977,2500,672,0.15647470238095224,1,197581279.3,919400,0.3197952587155702,8
1983,3,AECI,333787.4999999999,2500,744,0.17945564516129026,1,258075694.70000002,919400,0.37728511391838065,8
1983,4,AECI,312737.5000000002,2500,720,0.17374305555555566,1,203877129.3,919400,0.30798638197012546,8
1983,5,AECI,422025.0000000001,2500,744,0.22689516129032267,1,217088272.40000004,919400,0.31736492534869637,8
1983,6,AECI,382060,2500,720,0.2122555555555556,1,136343808.8,919400,0.2059673712324463,8
1983,7,AECI,420375,2500,744,0.22600806451612904,1,183993527.9,919400,0.26898317261023436,8
1983,8,AECI,401560,2500,744,0.21589247311827955,1,133643066.80000001,919400,0.19537500321621631,8
1983,9,AECI,352580.0000000001,2500,720,0.19587777777777785,1,233451672.3,919400,0.35266307782249295,8
1983,10,AECI,275352.5,2500,744,0.14803897849462366,1,226967760.7,919400,0.331807912213669,8
1983,11,AECI,201824.99999999997,2500,720,0.11212499999999999,1,255961369.29999995,919400,0.38666728497450015,8
1983,12,AECI,230470.00000000015,2500,744,0.12390860215053771,1,242502792.29999998,919400,0.35451883109250776,8
1984,1,AECI,291677.0390309556,5000,744,0.07840780619111709,1,503290333.40188426,1838800,0.36788421899295903,8
1984,2,AECI,328904.9999999999,2500,696,0.18902586206896546,1,242700369.39999998,919400,0.3792771669554607,8
1984,3,AECI,352807.49999999994,2500,744,0.1896814516129032,1,235626844.70000002,919400,0.34446676990720926,8
1984,4,AECI,323102.4999999998,2500,720,0.17950138888888878,1,285461261.8,919400,0.43123121026998285,8
