"HYDROGENERAL","Please don't change this row, otherwise this file may not be valid anymore!"
ScheduleMode: 1-UseGivenSchedule; 2-PeakShaving; 3-LoadFollowing
"Generator Name","CurveName","ScheduleMode","Multiplier","Capacity","Spillage","RampUpRate","RampDownRate","FOR","OutageDuration","ReserveContribution","Automatically_Calculate_K_and_p_Factors","Bank","ModelType"
"Hatchet_Creek","HY_HatchetCrk_2028[09]","3",.00068,"6.8",#FALSE#,"4.53","4.53","0","1",".5",#TRUE#,#FALSE#,"NA"
"Bear_Creek","NA","3",.0003,"3",#TRUE#,"3.33","3.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Cow_Creek_1","NA","3",.0001,"1",#FALSE#,".67",".67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Cow_Creek_2","NA","3",.0001,"1",#TRUE#,".67",".67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Deadwood_Creek","HY_WestFeatherRiver_2028[09]","3",.0002,"2",#TRUE#,"1.33","1.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"HatCreekSmlAgg1","HY_HatCrkPit1_2028[09]","1",.0002,"2",#FALSE#,"1.33","1.33","0","1",".3333",#TRUE#,#FALSE#,"NA"
"HatCreekSmlAgg2","HY_HatCrkPit1_2028[09]","1",.00014,"1.4",#FALSE#,".93",".93","0","1",".3333",#TRUE#,#FALSE#,"NA"
"HatCreekSmlAgg3","HY_HatCrkPit1_2028[09]","1",.00005,".5",#FALSE#,".33",".33","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Forks_Butte1","HY_WestFeatherRiver_2028[09]","3",.001247,"12.47",#FALSE#,"8.31","8.31","0","1",".5",#TRUE#,#FALSE#,"NA"
"Forks_Butte2","HY_WestFeatherRiver_2028[09]","3",.000183,"1.83",#FALSE#,"1.22","1.22","0","1",".5",#TRUE#,#FALSE#,"NA"
"Caribou_2_5","NA","3",.00596,"59.6",#TRUE#,"39.73","39.73","0","1",".5",#TRUE#,#FALSE#,"NA"
"De_Sabla_1","HY_WestFeatherRiver_2028[09]","3",.00185,"18.5",#FALSE#,"12.33","12.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"HatCreek1","HY_HatCrkPit1_2028[09]","3",.00085,"8.5",#FALSE#,"5.67","5.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"HatCreek2","HY_HatCrkPit1_2028[09]","3",.00085,"8.5",#FALSE#,"5.67","5.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Colgate_1","HY_Colgate_2028[09]","3",.0158,"158",#FALSE#,"117.81","117.81","0","1",".5",#TRUE#,#FALSE#,"NA"
"Colgate_2","HY_Colgate_2028[09]","3",.0158,"158",#FALSE#,"117.11","117.11","0","1",".5",#TRUE#,#FALSE#,"NA"
"Drum_2_5","HY_Drum2_2028[05]","3",.00486,"48.6",#FALSE#,"33.33","33.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"MIddleFork1","HY_MiddleFork_2028[09]","3",.00615,"61.5",#FALSE#,"46.11","46.11","0","1",".5",#TRUE#,#FALSE#,"NA"
"MIddleFork2","HY_MiddleFork_2028[09]","3",.0062,"62",#FALSE#,"41.33","41.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Ralston","HY_Ralston_2028[09]","3",.0083,"83",#FALSE#,"59.67","59.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Newcastle_1","HY_YubaBear_2028[09]","3",.0012,"12",#FALSE#,"8","8","0","1",".5",#TRUE#,#FALSE#,"NA"
"Chicago_Park_2P","HY_ChiPark_2028[09]","3",.004,"40",#TRUE#,"28","28","0","1",".5",#TRUE#,#FALSE#,"NA"
"Dutch_Flat_1","HY_YubaBear_2028[09]","3",.0022,"22",#FALSE#,"14.67","14.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Narrows1","HY_SFeatherColgate_2028[05]","3",.0012,"12",#FALSE#,"8","8","0","1",".5",#TRUE#,#FALSE#,"NA"
"Narrows2","HY_Narrows2_2028[09]","3",.0055,"55",#FALSE#,"36.67","36.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Camp_Far_West_1","HY_SFeatherColgate_2028[05]","3",.00079,"7.9",#TRUE#,"5.27","5.27","0","1",".5",#TRUE#,#FALSE#,"NA"
"Spaulding11","HY_YubaBear_2028[09]","3",.000767,"7.67",#FALSE#,"5.11","5.11","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Spaulding_2_1","HY_YubaBear_2028[09]","3",.000767,"7.67",#FALSE#,"5.11","5.11","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Spaulding_3_1","HY_YubaBear_2028[09]","3",.00065,"6.5",#FALSE#,"4.33","4.33","0","1",".3333",#TRUE#,#FALSE#,"NA"
"DeerCreekCA_1","HY_YubaBear_2028[09]","3",.00057,"5.7",#FALSE#,"4.67","4.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Halsey_1","HY_YubaBear_2028[09]","3",.00135,"13.5",#FALSE#,"9","9","0","1",".5",#TRUE#,#FALSE#,"NA"
"Bowman_GEN1","HY_YubaBear_2028[09]","3",.00036,"3.6",#TRUE#,"4.17","4.17","0","1",".5",#FALSE#,#FALSE#,"NA"
"Oxbow_CA_1","HY_YubaBear_2028[09]","3",.0006,"6",#FALSE#,"4","4","0","1",".5",#TRUE#,#FALSE#,"NA"
"Haypress_LGEN","HY_YubaBear_2028[09]","3",.000938,"9.38",#FALSE#,"6.25","6.25","0","1",".5",#TRUE#,#FALSE#,"NA"
"Haypress_UGEN","HY_YubaBear_2028[09]","3",.000938,"9.38",#FALSE#,"6.25","6.25","0","1",".5",#TRUE#,#FALSE#,"NA"
"Dutch_Flat_2_3P","HY_YubaBear_2028[09]","3",.0026,"26",#FALSE#,"17.33","17.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Drum11","HY_Drum1_2028[05]","3",.00133,"13.3",#FALSE#,"8.87","8.87","0","1",".25",#TRUE#,#FALSE#,"NA"
"Drum12","HY_Drum1_2028[05]","3",.00133,"13.3",#FALSE#,"8.87","8.87","0","1",".25",#TRUE#,#FALSE#,"NA"
"Drum13","HY_Drum1_2028[05]","3",.00128,"12.8",#TRUE#,"18.27","18.27","0","1",".25",#TRUE#,#FALSE#,"NA"
"Drum14","HY_Drum1_2028[05]","3",.00132,"13.2",#TRUE#,"8.8","8.8","0","1",".25",#TRUE#,#FALSE#,"NA"
"Chili_Bar_1","HY_YubaWest_2028[09]","3",.0007,"7",#FALSE#,"4.67","4.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Wise1","HY_YubaBear_2028[09]","3",.00201,"20.1",#FALSE#,"9.67","9.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"El_Dorado_1","HY_YubaWest_2028[09]","3",.00105,"10.5",#FALSE#,"7","7","0","1",".5",#TRUE#,#FALSE#,"NA"
"El_Dorado_2","HY_YubaWest_2028[09]","3",.00105,"10.5",#FALSE#,"7","7","0","1",".5",#TRUE#,#FALSE#,"NA"
"Copco_2_1","None","3",.00135,"13.5",#FALSE#,"9","9","0","1",".5",#FALSE#,#FALSE#,"NA"
"Bend1","None","3",.00002,".2",#FALSE#,".13",".13","0","1",".3333",#TRUE#,#FALSE#,"NA"
"John_C_Boyle_1","HY_Boyle_2028[05]","3",.005035,"50.35",#FALSE#,"33.57","33.57","0","1",".5",#FALSE#,#FALSE#,"NA"
"John_C_Boyle_2","HY_Boyle_2028[05]","3",.004,"40",#FALSE#,"31.75","31.75","0","1",".5",#FALSE#,#FALSE#,"NA"
"Clearwater1","NA","3",.0015,"15",#FALSE#,"10","10","0","1",".5",#TRUE#,#FALSE#,"NA"
"Clearwater2","NA","3",.0026,"26",#FALSE#,"17.33","17.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Siphon1","NA","3",.00027,"2.7",#FALSE#,"1.8","1.8","0","1",".5",#TRUE#,#FALSE#,"NA"
"Copco11","None","3",.001,"10",#FALSE#,"6.67","6.67","0","1",".5",#FALSE#,#FALSE#,"NA"
"Copco12","None","3",.001,"10",#FALSE#,"6.67","6.67","0","1",".5",#FALSE#,#FALSE#,"NA"
"Eagle_Point_1","NA","3",.0002813,"2.813",#FALSE#,"1.88","1.88","0","1",".5",#TRUE#,#FALSE#,"NA"
"EastSide","NA","3",.00032,"3.2",#FALSE#,"2.13","2.13","0","1",".5",#FALSE#,#FALSE#,"NA"
"Fall_Creek_1","None","3",.00005,"2.2",#FALSE#,"1.466667","1.466667","0","1",".3333",#FALSE#,#FALSE#,"NA"
"Fish_Creek_1","NA","3",.0011,"11",#FALSE#,"7.33","7.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Green_Springs","NA","3",.00172,"17.2",#FALSE#,"11.47","11.47","0","1",".5",#TRUE#,#FALSE#,"NA"
"Iron_Gate","NA","3",.0018,"18",#FALSE#,"12","12","0","1",".5",#FALSE#,#FALSE#,"NA"
"Lemolo11","HY_Lemolo1_2028[09]","3",.0029,"29",#FALSE#,"21.33","21.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Lemolo_2_1","NA","3",.00385,"38.5",#FALSE#,"25.67","25.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Merwin_1","HY_Merwin_2028[09]","3",.0045,"45",#FALSE#,"30","30","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Merwin_2","HY_Merwin_2028[09]","3",.0045,"45",#FALSE#,"30","30","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Merwin_3","HY_Merwin_2028[09]","3",.0045,"45",#FALSE#,"30","30","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Yale1","HY_Yale_2028[09]","3",.0067,"67",#FALSE#,"44.67","44.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Yale2","HY_Yale_2028[09]","3",.0067,"67",#FALSE#,"44.67","44.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"WarmSpringsPwr","NA","3",.00196,"19.6",#FALSE#,"13.07","13.07","0","1",".5",#TRUE#,#FALSE#,"NA"
"Slate_Creek","NA","3",.00042,"4.2",#FALSE#,"2.8","2.8","0","1",".5",#FALSE#,#FALSE#,"NA"
"Slide_Creek_1","NA","3",.0018,"18",#FALSE#,"12","12","0","1",".5",#TRUE#,#FALSE#,"NA"
"Soda_Springs_1","NA","3",.0011,"11",#FALSE#,"7.33","7.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Toketee_Falls_1","HY_Toketee_2028[09]","3",.001467,"14.67",#FALSE#,"9.78","9.78","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Swift_2_21","NA","3",.0035,"35",#FALSE#,"23.33","23.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Swift_2_22","NA","3",.0035,"35",#FALSE#,"23.33","23.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"Swift_1_HY11","HY_Swift1_2028[09]","3",.008,"80",#FALSE#,"53.33","53.33","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Swift_1_HY12","HY_Swift1_2028[09]","3",.008,"80",#FALSE#,"53.33","53.33","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Swift_1_HY13","HY_Swift1_2028[09]","3",.008,"80",#FALSE#,"53.33","53.33","0","1",".3333",#TRUE#,#FALSE#,"NA"
"PEC_Headworks_1","NA","3",.00066,"6.6",#FALSE#,"4.4","4.4","0","1",".5",#TRUE#,#FALSE#,"NA"
"Walterville_1","NA","3",.0008,"8",#FALSE#,"5.33","5.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"DiabloHydro_31","NA","3",.0083,"83",#FALSE#,"55.33","55.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"DiabloHydro_32","NA","3",.0083,"83",#FALSE#,"55.33","55.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"MainCanal","NA","3",.00268,"26.8",#FALSE#,"17.87","17.87","0","1",".5",#TRUE#,#FALSE#,"NA"
"Mayfield_41","NA","3",.00405,"48",#FALSE#,"27","27","0","1",".25",#TRUE#,#FALSE#,"NA"
"Mayfield_42","NA","3",.00405,"45",#FALSE#,"27","27","0","1",".25",#TRUE#,#FALSE#,"NA"
"Mayfield_43","NA","3",.00405,"45",#FALSE#,"27","27","0","1",".25",#TRUE#,#FALSE#,"NA"
"Mayfield_44","NA","3",.00405,"45",#FALSE#,"27","27","0","1",".25",#TRUE#,#FALSE#,"NA"
"Mossyrock_51","NA","3",.015,"203",#FALSE#,"100","100","0","1",".5",#TRUE#,#FALSE#,"NA"
"Mossyrock_52","NA","3",.015,"175",#FALSE#,"100","100","0","1",".5",#TRUE#,#FALSE#,"NA"
"Alder11","NA","3",.0025,"25",#FALSE#,"16.67","16.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Alder12","NA","3",.0025,"25",#FALSE#,"16.67","16.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Cushman121","NA","3",.00216,"30",#FALSE#,"14.4","14.4","0","1",".5",#TRUE#,#FALSE#,"NA"
"Cushman122","NA","3",.00216,"30",#FALSE#,"14.4","14.4","0","1",".5",#TRUE#,#FALSE#,"NA"
"Cushman_2_31","None","3",.0027,"25",#FALSE#,"18","18","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Cushman_2_32","None","3",.0027,"25",#FALSE#,"18","18","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Cushman_2_33","None","3",.0027,"30",#FALSE#,"18","18","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Wynoochee","NA","3",.00128,"16",#FALSE#,"8.53","8.53","0","1",".5",#TRUE#,#FALSE#,"NA"
"Chelan_A_1","NA","3",.00296,"29.6",#FALSE#,"19.73","19.73","0","1",".5",#TRUE#,#FALSE#,"NA"
"Chelan_A_2","NA","3",.00296,"29.6",#FALSE#,"19.73","19.73","0","1",".5",#TRUE#,#FALSE#,"NA"
"Packwood","NA","3",.00275,"27.5",#FALSE#,"18.33","18.33","0","1",".5",#TRUE#,#FALSE#,"NA"
"MeyersFalls1","NA","3",.00009,".9",#FALSE#,".6",".6","0","1",".5",#TRUE#,#FALSE#,"NA"
"MeyersFalls2","NA","3",.00003,".3",#FALSE#,".2",".2","0","1",".5",#TRUE#,#FALSE#,"NA"
"Monroe_Street_6","NA","3",.00148,"14.8",#FALSE#,"9.87","9.87","0","1",".5",#TRUE#,#FALSE#,"NA"
"Upper_Falls_1","NA","3",.001,"10",#FALSE#,"6.67","6.67","0","1",".5",#TRUE#,#FALSE#,"NA"
"Sullivan_1","None","3",.00012,"18",#FALSE#,".8",".8","0","1",".15",#TRUE#,#FALSE#,"NA"
"Round_Butte_3","None","3",.00823,"122.5",#FALSE#,"54.87","54.87","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Round_Butte_2","None","3",.00823,"122.5",#FALSE#,"54.87","54.87","0","1",".3333",#TRUE#,#FALSE#,"NA"
"Round_Butte_1","None","3",.00823,"105",#FALSE#,"54.87","54.87","0","1",".3333",#TRUE#,#FALSE#,"NA"
