"HR_GENERAL","HR_GENERAL"
"Note: For hourly resource units, there are three valid types - Wind, Solar and Others."
"GeneratorKey","GeneratorName","Type","CommitmentShapeID","CommitmentShapeName","CommitmentMultiplier","DispatchShapeID","DispatchShapeName","DispatchMultiplier","CommitmentVariation(%)","CommitmentPdf","DispatchVariation(%)","DispatchPdf","Capacity(MW)","Spillage","IfEnableMultiBlock","ModelType","IfUseInvertLoadingRatio","InvertLoadingRatio","TargetCapacityFactor"
"17069","ADS30_PV_PACW_LNR","Solar","2877","PV_OR_Cnty_ADS30_PV_PACW_LNR_42.72-122.86_F[09]","140","2877","PV_OR_Cnty_ADS30_PV_PACW_LNR_42.72-122.86_F[09]","140","0","0","0","0","140",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16415","ADS30_PV_PSCO_3","Solar","2715","PV_CO_Cnty_ADS30_PV_PSCO_3_38.38-104.42_F[09]","200","2715","PV_CO_Cnty_ADS30_PV_PSCO_3_38.38-104.42_F[09]","200","0","0","0","0","200",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16489","ADS30_PV_PSCO_8","Solar","2719","PV_CO_Cnty_ADS30_PV_PSCO_8_38.78-104.75_F[09]","60","2719","PV_CO_Cnty_ADS30_PV_PSCO_8_38.78-104.75_F[09]","60","0","0","0","0","60",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16391","ADS30_PV_SCE_1","Solar","2281","PV_CA_Cnty_ADS30_PV_SCE_1_33.88-115.71_T[09]","135.8","2281","PV_CA_Cnty_ADS30_PV_SCE_1_33.88-115.71_T[09]","135.8","0","0","0","0","135.8",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16400","ADS30_PV_SCE_10","Solar","2283","PV_CA_Cnty_ADS30_PV_SCE_10_34.87-118.18_T[09]","20","2283","PV_CA_Cnty_ADS30_PV_SCE_10_34.87-118.18_T[09]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16401","ADS30_PV_SCE_11","Solar","2284","PV_CA_Cnty_ADS30_PV_SCE_11_34.71-118.28_T[09]","10.3","2284","PV_CA_Cnty_ADS30_PV_SCE_11_34.71-118.28_T[09]","10.3","0","0","0","0","10.3",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16402","ADS30_PV_SCE_12","Solar","2285","PV_CA_Cnty_ADS30_PV_SCE_12_34.71-118.28_T[09]","10.3","2285","PV_CA_Cnty_ADS30_PV_SCE_12_34.71-118.28_T[09]","10.3","0","0","0","0","10.3",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16409","ADS30_PV_SCE_19","Solar","2286","PV_CA_Cnty_ADS30_PV_SCE_19_33.75-115.31_T[09]","136.8","2286","PV_CA_Cnty_ADS30_PV_SCE_19_33.75-115.31_T[09]","136.8","0","0","0","0","136.8",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16392","ADS30_PV_SCE_2","Solar","2282","PV_CA_Cnty_ADS30_PV_SCE_2_33.75-115.31_T[09]","136.8","2282","PV_CA_Cnty_ADS30_PV_SCE_2_33.75-115.31_T[09]","136.8","0","0","0","0","136.8",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16410","ADS30_PV_SCE_20","Solar","2287","PV_CA_Cnty_ADS30_PV_SCE_20_33.75-115.31_T[09]","163.4","2287","PV_CA_Cnty_ADS30_PV_SCE_20_33.75-115.31_T[09]","163.4","0","0","0","0","163.4",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
